# range -128..128
# sum of line must not exceed the range!

# Lanczos2 on x-axis and y-axis
# Not sorgelig's original lanczos though...

# horizontal coefficients
   0, 128,   0,   0
  -4, 126,   6,  -0
  -8, 124,  13,  -1
 -10, 118,  21,  -1
 -11, 111,  30,  -2
 -11, 103,  40,  -4
 -11,  93,  51,  -5
 -10,  83,  62,  -7
  -8,  72,  72,  -8
  -7,  62,  83, -10
  -5,  51,  93, -11
  -4,  40, 103, -11
  -2,  30, 111, -11
  -1,  21, 118, -10
  -1,  13, 124,  -8
  -0,   6, 126,  -4

# vertical coefficients
   0, 128,   0,   0
  -4, 127,   5,   0
  -8, 124,  13,  -1
 -10, 119,  21,  -2
 -11, 112,  29,  -2
 -11, 104,  39,  -4
 -10,  95,  50,  -5
 -10,  84,  61,  -7
  -8,  72,  72,  -8
  -7,  61,  84, -10
  -5,  50,  94, -11
  -4,  40, 103, -11
  -2,  30, 111, -11
  -1,  21, 118, -10
  -1,  13, 124,  -8
   0,   5, 127,  -4
